    0  1.931e+00  5.177e+07      1.2 *
    1  1.927e+00  5.188e+07      1.2 *
    2  1.928e+00  5.187e+07      1.2 *
    3  1.931e+00  5.179e+07      1.2 
    4  1.940e+00  5.155e+07      1.2 
    5  1.937e+00  5.163e+07      1.2 
    6  1.941e+00  5.153e+07      1.2 
    7  1.940e+00  5.153e+07      1.2 
    8  1.941e+00  5.152e+07      1.2 
    9  1.941e+00  5.150e+07      1.2 
    0  1.958e+00  5.106e+07      1.2 *
    1  1.952e+00  5.124e+07      1.2 *
    2  1.955e+00  5.115e+07      1.2 *
    3  1.949e+00  5.131e+07      1.2 
    4  1.973e+00  5.069e+07      1.2 
    5  1.960e+00  5.102e+07      1.2 
    6  1.952e+00  5.123e+07      1.2 
    7  1.976e+00  5.059e+07      1.2 
    8  1.973e+00  5.068e+07      1.2 
    9  1.969e+00  5.078e+07      1.2 
